,type_ids,parent_id,scientific_name,en_name,en_wikipedia_url
0,1,285.0,Prunus,Plum,http://en.wikipedia.org/wiki/Plum
2,3,263.0,Citrus x sinensis,Orange,http://en.wikipedia.org/wiki/Citrus_sinensis
3,4,263.0,Citrus x limon,Lemon,http://en.wikipedia.org/wiki/Citrus_limon
4,5,263.0,Citrus x paradisi,Grapefruit,http://en.wikipedia.org/wiki/Citrus_paradisi
5,7,,Persea americana,Avocado,http://en.wikipedia.org/wiki/Persea_americana
6,8,,Eucalyptus,Eucalyptus,http://en.wikipedia.org/wiki/Eucalyptus
7,9,,Salvia,Sage,http://en.wikipedia.org/wiki/Salvia
8,10,,Rosmarinus officinalis,Rosemary,http://en.wikipedia.org/wiki/Rosmarinus_officinalis
9,11,263.0,Citrus maxima,Pomelo,http://en.wikipedia.org/wiki/Citrus_maxima
10,12,,Diospyros,Persimmon,http://en.wikipedia.org/wiki/Persimmon
11,13,,Punica granatum,Pomegranate,http://en.wikipedia.org/wiki/Punica_granatum
12,14,114.0,Malus pumila,Apple,http://en.wikipedia.org/wiki/Malus_domestica
13,15,,Pyrus,Pear,http://en.wikipedia.org/wiki/Pyrus
14,16,,Vitis,Grape,http://en.wikipedia.org/wiki/Vitis
15,17,,Lavandula,Lavender,http://en.wikipedia.org/wiki/Lavandula
16,18,,Eriobotrya japonica,Loquat,http://en.wikipedia.org/wiki/Eriobotrya_japonica
17,19,263.0,Citrus japonica,Kumquat,http://en.wikipedia.org/wiki/Citrus_japonica
18,20,445.0,Ficus carica,Common fig,http://en.wikipedia.org/wiki/Ficus_carica
19,23,263.0,Citrus reticulata,Mandarin,http://en.wikipedia.org/wiki/Mandarin_orange
20,24,,Rheum rhabarbarum,Rhubarb,http://en.wikipedia.org/wiki/Rheum_rhabarbarum
21,25,1387.0,Citrus medica var. sarcodactyli,Buddha's hand,http://en.wikipedia.org/wiki/Buddha%27s_hand
22,26,263.0,Citrus,Lime,http://en.wikipedia.org/wiki/Lime_(fruit)
23,27,263.0,Citrus x meyeri,Meyer lemon,http://en.wikipedia.org/wiki/Citrus_meyeri
24,48,2523.0,Rubus,Blackberry,http://en.wikipedia.org/wiki/Blackberry
25,49,,Acca sellowiana,Feijoa,http://en.wikipedia.org/wiki/Acca_sellowiana
26,50,3190.0,Brassica oleracea var. acephala,Kale,http://en.wikipedia.org/wiki/Kale
