,lat,lon,house_number,road,neighbourhood,city,county,state,postcode,country
0,37.40994,-122.13772,3736,Laguna Oaks Place,Barron Park,Palo Alto,Santa Clara County,California,94306,USA
1,37.41114,-122.14049,912,Roble Ridge Road,Barron Park,Palo Alto,Santa Clara County,California,94306,USA
2,37.41216,-122.13959,3505,Laguna Avenue,Barron Park,Palo Alto,Santa Clara County,California,94306,USA
3,37.41175,-122.13934,3509,Laguna Court,Barron Park,Palo Alto,Santa Clara County,California,94306,USA
4,37.41137,-122.13888,3569,Laguna Avenue,Barron Park,Palo Alto,Santa Clara County,California,94306,USA
5,37.41175,-122.13934,3509,Laguna Court,Barron Park,Palo Alto,Santa Clara County,California,94306,USA
6,37.41057,-122.13739,3717,Laguna Avenue,Barron Park,Palo Alto,Santa Clara County,California,94306,USA
7,37.41154,-122.13907,3559,Laguna Avenue,Barron Park,Palo Alto,Santa Clara County,California,94306,USA
8,37.43131,-122.16937,,,,,Santa Clara County,California,94305-6015,USA
9,37.43131,-122.16937,,,,,Santa Clara County,California,94305-6015,USA
10,37.42467,-122.14723,2305,Yale Street,College Terrace,Palo Alto,Santa Clara County,California,94304-1050,USA
11,37.42404,-122.14704,624,California Avenue,Evergreen Park,Palo Alto,Santa Clara County,California,94036,USA
12,37.4211,-122.14812,901,South California Avenue,College Terrace,Palo Alto,Santa Clara County,California,94306,USA
13,37.4098,-122.13593,3809,Laguna Avenue,Barron Park,Palo Alto,Santa Clara County,California,94306,USA
14,37.4134,-122.1298,689,Los Robles Avenue,Barron Park,Palo Alto,Santa Clara County,California,94306,USA
15,37.41118,-122.11961,390,Edlee Avenue,Charleston Meadows,Palo Alto,Santa Clara County,California,94023,USA
16,37.39502,-122.08971,1612,California Street,Castro City,Mountain View,Santa Clara County,California,94041,USA
17,37.39342,-122.08629,1301,California Street,Castro City,Mountain View,Santa Clara County,California,94041,USA
18,37.39115,-122.07897,379,Hope Street,,Mountain View,Santa Clara County,California,94041,USA
19,37.39062,-122.07932,403,California Street,Whisman Station,Mountain View,Santa Clara County,California,94041,USA
20,37.39035,-122.07788,572,California Street,Whisman Station,Mountain View,Santa Clara County,California,94041,USA
21,37.39018,-122.07792,567,California Street,Whisman Station,Mountain View,Santa Clara County,California,94041,USA
22,37.39066,-122.07706,356,Bush Street,Whisman Station,Mountain View,Santa Clara County,California,94041,USA
23,37.39034,-122.07665,488,Loreto Street,Whisman Station,Mountain View,Santa Clara County,California,94041,USA
24,37.39098,-122.07691,344,Bush Street,Whisman Station,Mountain View,Santa Clara County,California,94041,USA
25,37.39117,-122.07621,289,West Dana Street,Whisman Station,Mountain View,Santa Clara County,California,94041,USA
26,37.39117,-122.07621,289,West Dana Street,Whisman Station,Mountain View,Santa Clara County,California,94041,USA
27,37.3903,-122.0747,375,West Dana Street,Whisman Station,Mountain View,Santa Clara County,California,94041,USA
28,37.39029,-122.07469,373,West Dana Street,Whisman Station,Mountain View,Santa Clara County,California,94041,USA
29,37.39016,-122.07435,337,West Dana Street,Whisman Station,Mountain View,Santa Clara County,California,94041,USA
30,37.39444,-122.08841,1500,California Street,Castro City,Mountain View,Santa Clara County,California,94041,USA
31,37.86276,-122.26264,,,LeConte,Berkeley,Alameda County,California,,USA
32,37.86399,-122.26079,2385,Blake Street,LeConte,Berkeley,Alameda County,California,94704,USA
33,37.86305,-122.26103,2373,Parker Street,LeConte,Berkeley,Alameda County,California,94704,USA
34,37.86305,-122.26108,2371,Parker Street,LeConte,Berkeley,Alameda County,California,94704,USA
35,37.86305,-122.26108,2371,Parker Street,LeConte,Berkeley,Alameda County,California,94704,USA
36,37.86248,-122.26333,,Parker Street,LeConte,Berkeley,Alameda County,California,95704,USA
37,37.86248,-122.26333,,Parker Street,LeConte,Berkeley,Alameda County,California,95704,USA
38,37.86248,-122.26333,,Parker Street,LeConte,Berkeley,Alameda County,California,95704,USA
39,37.86248,-122.26333,,Parker Street,LeConte,Berkeley,Alameda County,California,95704,USA
40,37.86233,-122.26465,2200,Parker Street,LeConte,Berkeley,Alameda County,California,94704,USA
41,37.86233,-122.26465,2200,Parker Street,LeConte,Berkeley,Alameda County,California,94704,USA
42,37.86233,-122.26465,2200,Parker Street,LeConte,Berkeley,Alameda County,California,94704,USA
43,37.86173,-122.26292,2282,Carleton Street,LeConte,Berkeley,Alameda County,California,94704,USA
44,37.86186,-122.26245,,,LeConte,Berkeley,Alameda County,California,,USA
45,37.86188,-122.26307,2277,Carleton Street,LeConte,Berkeley,Alameda County,California,94704,USA
46,37.86871,-122.25587,,Bancroft Way,Southside,Berkeley,Alameda County,California,94720-1076,USA
47,37.85844,-122.26416,2810,Fulton Street,LeConte,Berkeley,Alameda County,California,94705,USA
48,37.85539,-122.26445,3001,Wheeler Street,LeConte,Berkeley,Alameda County,California,94705,USA
49,37.85467,-122.26499,2174,Emerson Street,South Berkeley,Berkeley,Alameda County,California,94705,USA
50,37.85436,-122.26082,3043,Halcyon Court,LeConte,Berkeley,Alameda County,California,94705,USA
51,37.85316,-122.26184,3157,Deakin Street,LeConte,Berkeley,Alameda County,California,94705,USA
52,37.86959,-122.25661,,Bancroft Way,Southside,Berkeley,Alameda County,California,94720-1076,USA
53,37.85368,-122.26353,,Prince Street,South Berkeley,Berkeley,Alameda County,California,94705,USA
54,37.85819,-122.26656,2813,Shattuck Avenue,LeConte,Berkeley,Alameda County,California,94705,USA
55,37.85655,-122.26563,2919,Lorina Street,LeConte,Berkeley,Alameda County,California,94705,USA
56,37.85983,-122.2648,2185,Ward Street,LeConte,Berkeley,Alameda County,California,94705,USA
57,37.85993,-122.26197,2733,Ellsworth Street,LeConte,Berkeley,Alameda County,California,94705,USA
58,37.8619,-122.26292,2285,Carleton Street,LeConte,Berkeley,Alameda County,California,94704,USA
59,37.86184,-122.26339,2261,Carleton Street,LeConte,Berkeley,Alameda County,California,94704,USA
60,37.85789,-122.2545,2910,Benvenue Avenue,Elmwood,Berkeley,Alameda County,California,94705,USA
61,37.85902,-122.25588,2848,Hillegass Avenue,Elmwood,Berkeley,Alameda County,California,94705,USA
62,37.85843,-122.25563,2889,Hillegass Avenue,Elmwood,Berkeley,Alameda County,California,94705,USA
63,37.86308,-122.25487,2623,Benvenue Avenue,Elmwood,Berkeley,Alameda County,California,94704,USA
64,37.85869,-122.25586,2870,Hillegass Avenue,Elmwood,Berkeley,Alameda County,California,94705,USA
65,37.86143,-122.25463,2715,Benvenue Avenue,Elmwood,Berkeley,Alameda County,California,94705,USA
66,37.86024,-122.25475,2786,Benvenue Avenue,Elmwood,Berkeley,Alameda County,California,94705,USA
67,37.85751,-122.2584,2907,Florence Street,Elmwood,Berkeley,Alameda County,California,94705,USA
68,37.85871,-122.25724,2828,Regent Street,Elmwood,Berkeley,Alameda County,California,94705,USA
69,37.86169,-122.2576,2698,Regent Street,Southside,Berkeley,Alameda County,California,94704,USA
70,37.85732,-122.2571,2918,Regent Street,Elmwood,Berkeley,Alameda County,California,94705,USA
71,37.85736,-122.25689,2585,Regent Street,Elmwood,Berkeley,Alameda County,California,94705,USA
72,37.85871,-122.25724,2828,Regent Street,Elmwood,Berkeley,Alameda County,California,94705,USA
73,37.87461,-122.28854,1659,Chestnut Street,Westbrae,Berkeley,Alameda County,California,94702,USA
74,37.88015,-122.26783,1501,Walnut Street,Gourmet Ghetto,Berkeley,Alameda County,California,94709,USA
75,37.8624,-122.29491,2376,Seventh Street,West Berkeley,Berkeley,Alameda County,California,94710,USA
76,37.83748,-122.29925,2230,Powell Street,,,Alameda County,California,94608,USA
77,37.85886,-122.28504,2650,Mabel Street,San Pablo Park,Berkeley,Alameda County,California,94702,USA
78,37.86997,-122.29734,1848,Seventh Street,West Berkeley,Berkeley,Alameda County,California,94710,USA
79,37.87005,-122.29736,1836,Seventh Street,West Berkeley,Berkeley,Alameda County,California,94710,USA
80,37.87015,-122.2974,1820,Seventh Street,West Berkeley,Berkeley,Alameda County,California,94710,USA
81,37.86909,-122.29705,1946,Seventh Street,West Berkeley,Berkeley,Alameda County,California,94710,USA
82,37.87248,-122.29582,1724,Ninth Street,West Berkeley,Berkeley,Alameda County,California,94710,USA
83,37.86758,-122.29271,1030,Addison Street,West Berkeley,Berkeley,Alameda County,California,94710,USA
84,37.84228,-122.27222,5732,Genoa Street,Longfellow,Oakland,Alameda County,California,94608,USA
85,37.86349,-122.26672,,Blake Street,LeConte,Berkeley,Alameda County,California,94703,USA
86,37.88371,-122.27303,1271,Bonita Avenue,North Berkeley,Berkeley,Alameda County,California,94709,USA
87,37.88067,-122.27187,1430,Milvia Street,North Berkeley,Berkeley,Alameda County,California,94709,USA
88,37.87429,-122.28318,,Virginia Street,Central Berkeley,Berkeley,Alameda County,California,94702,USA
89,37.87335,-122.29453,1035,Virginia Street,Ocean View,Berkeley,Alameda County,California,94710,USA
90,37.88109,-122.27505,1405,Josephine Street,North Berkeley,Berkeley,Alameda County,California,94709,USA
91,37.88123,-122.27456,1838,Rose Street,North Berkeley,Berkeley,Alameda County,California,94709,USA
92,37.88076,-122.275,1415,Josephine Street,North Berkeley,Berkeley,Alameda County,California,94709,USA
93,37.88349,-122.27126,1300,Henry Street,Gourmet Ghetto,Berkeley,Alameda County,California,94709,USA
94,37.88508,-122.2732,1207,Bonita Avenue,North Berkeley,Berkeley,Alameda County,California,94709,USA
95,37.88513,-122.2724,1212,Milvia Street,North Berkeley,Berkeley,Alameda County,California,94709,USA
96,37.87206,-122.28447,1863,Acton Street,Central Berkeley,Berkeley,Alameda County,California,94702,USA
97,37.86734,-122.28387,2191,Acton Street,Central Berkeley,Berkeley,Alameda County,California,94702,USA
98,37.86832,-122.28676,,Bonar Street,Poets Corner,Berkeley,Alameda County,California,94702,USA
99,37.8418,-122.21098,6242,Valley View Road,Montclair,Oakland,Alameda County,California,94611,USA
100,37.86894,-122.28203,2132,Sacramento Street,Central Berkeley,Berkeley,Alameda County,California,94702,USA
101,37.87026,-122.27608,1733,Addison Street,Central Berkeley,Berkeley,Alameda County,California,94703,USA
102,37.86789,-122.27617,2222,Roosevelt Avenue,Central Berkeley,Berkeley,Alameda County,California,94703,USA
103,37.88256,-122.28065,1645,Hopkins Street,Northbrae,Berkeley,Alameda County,California,94707,USA
104,37.87842,-122.26762,1601,Walnut Street,Gourmet Ghetto,Berkeley,Alameda County,California,94709,USA
105,37.88167,-122.26863,1414,Walnut Street,Gourmet Ghetto,Berkeley,Alameda County,California,94709,USA
106,37.88509,-122.26891,1230,Walnut Street,Gourmet Ghetto,Berkeley,Alameda County,California,94709,USA
107,37.85891,-122.29168,,Parker Street,San Pablo Park,Berkeley,Alameda County,California,94703,USA
108,37.86737,-122.29401,,,West Berkeley,Berkeley,Alameda County,California,,USA
109,37.86684,-122.29637,898,Addison Street,West Berkeley,Berkeley,Alameda County,California,94710,USA
110,37.88223,-122.26992,2095,Rose Street,Gourmet Ghetto,Berkeley,Alameda County,California,94709,USA
111,37.87295,-122.25508,,Gayley Road,Northside,Berkeley,Alameda County,California,94720-1076,USA
112,37.87011,-122.24713,44,,Panoramic Hill,Berkeley,Alameda County,California,94720-1076,USA
113,37.91935,-122.28613,8621,Terrace Drive,,,Contra Costa County,California,94530,USA
114,37.85114,-122.25084,6300,Mystic Street,Claremont,Berkeley,Alameda County,California,94618,USA
115,37.87147,-122.26252,,,Northside,Berkeley,Alameda County,California,94720,USA
116,37.85779,-122.26276,,Oregon Street,LeConte,Berkeley,Alameda County,California,94705,USA
117,37.90325,-122.27775,303,Arlington Avenue,Thousand Oaks,Berkeley,Contra Costa County,California,94707,USA
118,37.84024,-122.28879,43,Loop 22,,,Alameda County,California,94608,USA
119,37.84181,-122.28836,,,,,Alameda County,California,94608,USA
120,37.8442,-122.2777,954,60th Street,Golden Gate,Oakland,Alameda County,California,94608,USA
