County,POP2010
0,13798
Abbeville,25417
Acadia,61773
Accomack,33164
Ada,392365
Adair,74628
Adams,786662
Addison,36821
Aiken,160099
Aitkin,16202
Alachua,247336
Alamance,151131
Alameda,1510271
Alamosa,15445
Albany,340503
Albemarle,98970
Alcona,10942
Alcorn,37057
Aleutians East,3141
Aleutians West,5561
Alexander,45436
Alexandria,139966
Alfalfa,5642
Alger,9601
Allamakee,14330
Allegan,111408
Allegany,124033
Alleghany,27405
Allegheny,1223348
Allen,520751
Allendale,10419
Alpena,29598
Alpine,1175
Amador,38091
Amelia,12690
Amherst,32353
Amite,13131
Anchorage,291826
Anderson,350236
Andrew,17291
Andrews,14786
Androscoggin,107702
Angelina,86771
Anne Arundel,537656
Anoka,330844
Anson,26948
Antelope,6685
Antrim,23580
Apache,71518
Appanoose,12887
Appling,18236
Appomattox,14973
Aransas,23158
Arapahoe,572003
Archer,9054
Archuleta,12084
Arenac,15899
Arkansas,19019
Arlington,207627
Armstrong,70842
Aroostook,71870
Arthur,460
Ascension,107215
Ashe,27281
Ashland,69296
Ashley,21853
Ashtabula,101497
Asotin,21623
Assumption,23421
Atascosa,44911
Atchison,22609
Athens,64757
Atkinson,8375
Atlantic,274549
Atoka,14182
Attala,19564
Audrain,25529
Audubon,6119
Auglaize,45949
Augusta,73750
Aurora,2710
Austin,28417
Autauga,54571
Avery,17797
Avoyelles,42073
Baca,3788
Bacon,11096
Bailey,7165
Baker,46700
Baldwin,227985
Ballard,8249
Baltimore,805029
Baltimore City,620961
Bamberg,15987
Bandera,20485
Banks,18395
Banner,690
Bannock,82839
Baraga,8860
Barber,4861
Barbour,44046
Barnes,11066
Barnstable,215888
Barnwell,22621
Barren,42173
Barron,45870
Barrow,69367
Barry,94770
Bartholomew,76794
Barton,40076
Bartow,100157
Bastrop,74171
Bates,17049
Bath,16322
Baxter,41513
Bay,276623
Bayfield,15014
Baylor,3726
Beadle,17398
Bear Lake,5986
Beaufort,209992
Beauregard,35654
Beaver,182804
Beaverhead,9246
Becker,32504
Beckham,22119
Bedford,163496
Bedford City,6222
Bee,31861
Belknap,60088
Bell,338926
Belmont,70400
Beltrami,44442
Ben Hill,17634
Benewah,9285
Bennett,3431
Bennington,37125
Benson,6660
Bent,6499
Benton,599750
Benzie,17525
Bergen,905116
Berkeley,282012
Berks,411442
Berkshire,131219
Bernalillo,662564
Berrien,176099
Bertie,21282
Bethel,17013
Bexar,1714773
Bibb,178462
Bienville,14353
Big Horn,24533
Big Stone,5269
Billings,783
Bingham,45607
Black Hawk,131090
Blackford,12766
Bladen,35190
Blaine,40288
Blair,127089
Blanco,10497
Bland,6824
Bleckley,13063
Bledsoe,12876
Blount,180332
Blue Earth,64013
Boise,7028
Bolivar,34145
Bollinger,12363
Bon Homme,7070
Bond,17768
Bonner,40877
Bonneville,104234
Boone,485601
Borden,641
Bosque,18212
Bossier,116979
Botetourt,33148
Bottineau,6429
Boulder,294567
Boundary,10972
Bourbon,35158
Bowie,92565
Bowman,3151
Box Butte,11308
Box Elder,49975
Boyd,51641
Boyle,28432
Bracken,8488
Bradford,91142
Bradley,110471
Branch,45248
Brantley,18411
Braxton,14523
Brazoria,313166
Brazos,194851
Breathitt,13878
Breckinridge,20059
Bremer,24276
Brevard,543376
Brewster,9232
Briscoe,1637
Bristol,615995
Bristol Bay,997
Broadwater,5612
Bronx,1385108
Brooke,24069
Brookings,31965
Brooks,23466
Broome,200600
Broomfield,55889
Broward,1748066
Brown,428691
Brule,5255
Brunswick,124865
Bryan,72649
Buchanan,134257
Buckingham,17146
Bucks,625249
Buena Vista,26910
Buffalo,61601
Bullitt,74319
Bulloch,70217
Bullock,10914
Buncombe,238318
Bureau,34978
Burke,116196
Burleigh,81308
Burleson,17187
Burlington,448734
Burnet,42750
Burnett,15457
Burt,6858
Butler,717565
Butte,233001
Butts,23655
Cabarrus,178011
Cabell,96319
Cache,112656
Caddo,284569
Calaveras,45578
Calcasieu,192768
Caldwell,153635
Caledonia,31227
Calhoun,355309
Callahan,13544
Callaway,44332
Calloway,37191
Calumet,48971
Calvert,88737
Camas,1117
Cambria,143679
Camden,618152
Cameron,418144
Camp,12401
Campbell,233493
Canadian,115541
Candler,10998
Cannon,13801
Canyon,188923
Cape Girardeau,75674
Cape May,97265
Carbon,112615
Caribou,6963
Carlisle,5104
Carlton,35386
Caroline,61611
Carroll,527386
Carson,6182
Carson City,55274
