,County,Poverty Rate,Total Population
0,Alameda,13.02,1510271
1,Alpine,15.1,1175
2,Amador,12.1,38091
3,Butte,20.65,233001
4,Calaveras,12.17,45578
5,Colusa,14.44,21419
6,Contra Costa,10.63,1049025
7,Del Norte,20.92,28610
8,El Dorado,10.42,181058
9,Fresno,27.56,930450
10,Glenn,19.87,28122
11,Humboldt,17.75,160966
12,Imperial,23.0,174528
13,Inyo,13.8,18546
14,Kern,23.15,839631
15,Kings,1.13,2657682
16,Lake,0.85,1876613
17,Lassen,14.81,34895
18,Los Angeles,18.46,9818605
19,Madera,23.41,150865
20,Marin,8.64,252409
21,Mariposa,16.5,18251
22,Mendocino,20.1,87841
23,Merced,25.56,255793
24,Modoc,20.98,9686
25,Mono,4.98,14202
26,Monterey,17.15,415057
27,Napa,10.62,136484
28,Nevada,11.47,107761
29,Orange,8.09,4826896
30,Placer,8.93,348432
31,Plumas,15.96,20007
32,Riverside,17.03,2189641
33,Sacramento,18.14,1418788
34,San Benito,12.04,55269
35,San Bernardino,19.21,2035210
36,San Diego,14.71,3095313
37,San Francisco,13.71,805235
38,San Joaquin,19.58,685306
39,San Luis Obispo,16.34,269637
40,San Mateo,7.57,718451
41,Santa Barbara,16.21,423895
42,Santa Clara,10.06,1781642
43,Santa Cruz,12.99,309802
44,Shasta,18.05,177223
45,Sierra,3.47,15228
46,Siskiyou,22.89,44900
47,Solano,12.94,413344
48,Sonoma,12.27,483878
49,Stanislaus,20.39,514453
50,Sutter,16.94,94737
51,Tehama,18.41,63463
52,Trinity,8.97,28371
53,Tulare,27.52,442179
54,Tuolumne,13.5,55365
55,Ventura,11.22,823318
56,Yolo,20.66,200849
57,Yuba,22.37,72155
